ID,功能,Notion状态,原始前置,建议直接前置,计划开始,目标DDL,预算工作日
PM-050,部署迁移与生产化,📐 后续触发,真实部署升级需求,"PM-027,PM-035,PM-040,PM-049",2026-11-26,2026-11-27,2
PM-051,多租户与公网部署,📐 后续触发,PM-007、PM-009～PM-012、生产化,"PM-007,PM-008,PM-009,PM-010,PM-011,PM-012,PM-050",2026-11-30,2026-12-01,2
PM-001,Admin V1 后端基线,✅ 已完成,—,,—,已完成（截至 09-07）,0
PM-002,Web Query Policy 基线,✅ 已完成,Admin Query Policy API,PM-001,—,已完成（截至 09-07）,0
PM-003,完整 Web 管理面分支收口,✅ 已完成,PM-001、PM-002,"PM-001,PM-002",—,已完成（截至 09-07）,0
PM-004,修复 Makefile 假成功,✅ 已完成,—,,—,已完成（截至 09-07）,0
PM-005,建立 CI 与完整回归,✅ 已完成,PM-003、PM-004,"PM-003,PM-004",—,已完成（截至 09-07）,0
PM-006,项目状态与运行文档同步,✅ 已完成,PM-003、PM-005,"PM-003,PM-005",—,已完成（截至 09-07）,0
PM-052,管理面关键流程收口,✅ 已完成,PM-001、PM-003,"PM-001,PM-003",—,已完成（截至 09-07）,0
PM-053,管理工作台整体风格优化,✅ 已完成,PM-003,PM-003,—,已完成（截至 09-07）,0
PM-054,管理台真实全流程验收与修复,✅ 已完成,PM-052、PM-053,"PM-052,PM-053",—,已完成（截至 09-07）,0
PM-055,管理台未保存内容保护,✅ 已完成,PM-054,PM-054,—,已完成（截至 09-07）,0
PM-056,规则效果与编辑语义说明,✅ 已完成,PM-053、PM-055,"PM-053,PM-055",—,已完成（截至 09-07）,0
PM-057,管理台工作包最终回归与 #22 核对,✅ 已完成,PM-006、PM-054、PM-055、PM-056,"PM-006,PM-054,PM-055,PM-056",—,已完成（截至 09-07）,0
